serial,player_name,club,position,pass_accuracy,pass_attempted,pass_completed,cross_accuracy,cross_attempted,cross_complted,freekicks_taken,match_played,avrg
519,Delaney,Sevilla,Midfielder,70.5,76,61,0,0,0,1,4,42.3
519,Karavaev,Dynamo Kyiv,Defender,70.5,57,44,25,4,1,3,6,52.3
519,Gosens,Atalanta,Midfielder,70.5,56,43,0,0,0,0,2,42.3
519,Leo Jardim,LOSC,Goalkeeper,70.5,37,26,0,0,0,2,2,42.3
523,Clinton Mata,Club Brugge,Defender,70.3,200,144,27,11,3,10,6,52.98
523,De Pena,Dynamo Kyiv,Midfielder,70.3,124,87,10,10,1,3,6,46.18
523,Taremi,Porto,Forward,70.3,108,75,0,1,0,0,6,42.18
526,Ersin Destanoğlu,Beşiktaş,Goalkeeper,70.2,145,101,0,0,0,7,5,42.12
526,Adán,Sporting CP,Goalkeeper,70.2,233,166,0,0,0,34,7,42.12
528,Otávio,Porto,Midfielder,70,197,149,56,16,9,4,6,64.4
528,Zapata,Atalanta,Forward,70,130,92,20,5,1,0,6,50
528,Yaremchuk,Benfica,Forward,70,103,71,0,1,0,0,10,42
528,Gudmundsson,LOSC,Defender,70,76,53,0,9,0,2,4,42
532,Rieder,Young Boys,Midfielder,69.7,98,69,11,9,1,3,6,46.22
533,Di María,Paris,Forward,69.6,154,135,28,7,2,4,5,52.96
534,Diogo Gonçalves,Benfica,Midfielder,69.4,42,35,20,5,1,1,5,49.64
535,Athanasiadis,Sheriff,Goalkeeper,69.2,154,106,0,0,0,10,5,41.52
536,Seiwald,Salzburg,Midfielder,69,258,190,20,25,5,9,8,49.4
536,Ghezzal,Beşiktaş,Midfielder,69,161,113,14,14,2,3,5,47
538,Kalulu,Milan,Defender,68.8,79,57,50,6,3,2,5,61.28
538,Van Der Brempt,Club Brugge,Defender,68.8,58,40,28,7,2,2,5,52.48
540,Baku,Wolfsburg,Midfielder,68.7,144,99,11,9,1,2,6,45.62
541,Siebatcheu,Young Boys,Forward,68.3,64,51,0,0,0,0,6,40.98
542,Rulli,Villarreal,Goalkeeper,68.2,489,332,0,0,0,53,12,40.92
543,Necip Uysal,Beşiktaş,Midfielder,68,55,37,50,2,1,4,3,60.8
544,Vitinho,Dynamo Kyiv,Midfielder,67.7,28,21,0,2,0,0,3,40.62
545,Šeško,Salzburg,Forward,67.3,58,40,100,1,1,1,6,80.38
545,Larsson,Malmö,Defender,67.3,86,67,60,5,3,6,4,64.38
547,Sowah,Club Brugge,Forward,67.2,110,77,7,14,1,0,5,43.12
548,Luis Suárez,Atlético,Forward,67,84,57,0,3,0,2,7,40.2
549,Ulmer,Salzburg,Defender,66.9,277,187,0,16,0,5,8,40.14
549,Sučić,Salzburg,Midfielder,66.9,194,153,21,14,3,4,8,48.54
551,Burak Yılmaz,LOSC,Forward,66.6,130,91,16,12,2,9,7,46.36
551,Capaldo,Salzburg,Midfielder,66.6,112,78,25,8,2,4,7,49.96
553,Paulo Otávio,Wolfsburg,Defender,66.3,72,48,0,8,0,0,4,39.78
554,Gerard Moreno,Villarreal,Forward,66.2,163,110,16,6,1,2,7,46.12
555,Günok,Beşiktaş,Goalkeeper,66,38,25,0,0,0,1,1,39.6
556,Dzyuba,Zenit,Forward,65.8,61,39,0,0,0,0,6,39.48
556,Kristensen,Salzburg,Defender,65.8,282,191,0,12,0,1,8,39.48
558,Correa,Atlético,Forward,65.6,139,107,28,7,2,1,10,50.56
558,Vrsaljko,Atlético,Defender,65.6,80,55,20,5,1,1,5,47.36
560,Fernando Costanza,Sheriff,Defender,65.5,136,92,18,11,2,4,6,46.5
561,Pedro Porro,Sporting CP,Defender,65.4,207,135,8,25,2,6,7,42.44
